name	hardness	color	season	species
HART	Soft	Red	Winter	Triticum aestivum
HATCHER	Hard	Red	Winter	Triticum aestivum
HILLIARD	unknown	unknown	unknown	Triticum aestivum
IDEAL	Hard	Red	Winter	Triticum aestivum
HOLLEY	Soft	Red	Winter	Triticum aestivum
INGOT	unknown	unknown	Spring	Triticum aestivum
HOWELL	Soft	Red	Winter	Triticum aestivum
JAGALENE	Hard	Red	Winter	Triticum aestivum
HUNTER	Soft	Red	Winter	Triticum aestivum
JERRY	Hard	Red	Winter	Triticum aestivum
DAPPS	unknown	unknown	Spring	Triticum aestivum
IL00-8061	Soft	Red	Winter	Triticum aestivum
KS030887K-6	Hard	Red	Winter	Triticum aestivum
IL00-8530	Soft	Red	Winter	Triticum aestivum
KHARKOF	Hard	Red	Winter	Triticum aestivum
IL02-18228	Soft	Red	Winter	Triticum aestivum
KS061193K-2	Hard	Red	Winter	Triticum aestivum
IL07-20728	Soft	Red	Winter	Triticum aestivum
KS090387K-20	Hard	Red	Winter	Triticum aestivum
IL07-4415	Soft	Red	Winter	Triticum aestivum
LANG-MN	unknown	unknown	unknown	Triticum aestivum
ALUM	unknown	unknown	unknown	Triticum aestivum
BESS	Soft	Red	Winter	Triticum aestivum
IL96-6472	Soft	unknown	Winter	Triticum aestivum
LANNING	unknown	unknown	unknown	Triticum aestivum
INW0316	Soft	unknown	Winter	Triticum aestivum
LCS_CHROME	Hard	Red	Winter	Triticum aestivum
JAMESTOWN	Soft	Red	Winter	Triticum aestivum
LINKERT	Hard	Red	Spring	Triticum aestivum
ELGIN_ND	unknown	unknown	unknown	Triticum aestivum
K1	unknown	unknown	unknown	Triticum turanicum
MARSHALL	unknown	unknown	Spring	Triticum aestivum
FALLER	unknown	unknown	Spring	Triticum aestivum
K10	unknown	unknown	unknown	Triticum turanicum
MCGILL	Hard	Red	Winter	Triticum aestivum
K11	unknown	unknown	unknown	Triticum turanicum
MILLENIUM	unknown	unknown	unknown	Triticum aestivum
K12	unknown	unknown	unknown	Triticum turanicum
MN00187-3-1	unknown	unknown	Spring	Triticum aestivum
K13	unknown	unknown	unknown	Triticum aestivum
